직함,나이,학력,코딩 경력(년),ML 경력(년),Python,R,SQL,C,C#,C++,Java,Javascript,Bash,PHP,MATLAB,Julia,Go,Scikit-learn,TensorFlow,Keras,PyTorch,Fast.ai,Xgboost,LightGBM,CatBoost,Caret,Tidymodels,JAX,PyTorch Lightning,Huggingface,Linear/Logistic Regression,Decision Trees/Random Forests,"Gradient Boosting (XGB, LGBM)",Bayesian Approaches,Evolutionary Approaches,Dense Neural Networks (MLP),CNN,GAN,RNN,"Transformer (BERT, GPT)","Autoencoder (DAE, VAE)",Graph Neural Networks,연봉 (USD)
Data Scientist,50-54,Doctoral degree,20+ years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,, Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"150,000-199,999"
Machine Learning/ MLops Engineer,40-44,Some college/university study without earning a bachelor’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,Javascript,Bash,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"150,000-199,999"
Data Engineer,25-29,Master’s degree,1-3 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Engineer,40-44,Doctoral degree,10-20 years,4-5 years,Python,,SQL,C,,,Java,Javascript,,PHP,MATLAB,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"90,000-99,999"
Data Scientist,55-59,Master’s degree,20+ years,10-20 years,Python,,SQL,,,,,,Bash,,,,,,  TensorFlow ,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"200,000-249,999"
Data Scientist,35-39,Doctoral degree,20+ years,5-10 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,5-10 years,4-5 years,Python,,SQL,,,,Java,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"50,000-59,999"
Data Scientist,30-34,Master’s degree,10-20 years,1-2 years,Python,R,SQL,,,,,,,,,,,,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"30,000-39,999"
Data Scientist,18-21,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,,,,,MATLAB,,,  Scikit-learn ,, Keras ,,,,,,,,,,,,,,,,,,,,,,,"20,000-24,999"
Data Scientist,40-44,Doctoral degree,10-20 years,4-5 years,Python,,SQL,C,,,,,,,,,,  Scikit-learn ,, Keras ,,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Some college/university study without earning a bachelor’s degree,1-3 years,4-5 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"7,500-9,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,I prefer not to answer,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000-69,999"
Data Scientist,45-49,Master’s degree,20+ years,2-3 years,Python,R,,,,,,,,,,Julia,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost ,,, Caret ,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"100,000-124,999"
Data Scientist,35-39,Bachelor’s degree,5-10 years,5-10 years,Python,R,SQL,,,,,Javascript,,,,,,  Scikit-learn ,,, PyTorch , Fast.ai , Xgboost ,,, Caret , Tidymodels ,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"150,000-199,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,1-3 years,2-3 years,Python,,SQL,,,,Java,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,, LightGBM , CatBoost ,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
Data Scientist,45-49,Doctoral degree,3-5 years,2-3 years,Python,R,,,,,,,,,,,,,  TensorFlow ,, PyTorch , Fast.ai ,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,"Autoencoder Networks (DAE, VAE, etc)",,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,C++,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,,,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,"Autoencoder Networks (DAE, VAE, etc)",,"2,000-2,999"
Machine Learning/ MLops Engineer,35-39,Bachelor’s degree,10-20 years,3-4 years,Python,,,,,C++,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
Data Scientist,30-34,Doctoral degree,10-20 years,5-10 years,Python,R,SQL,C,,,,,,,MATLAB,Julia,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,,,,,"Transformer Networks (BERT, gpt-3, etc)",,Graph Neural Networks,"50,000-59,999"
Machine Learning/ MLops Engineer,45-49,Master’s degree,20+ years,2-3 years,Python,,SQL,C,,C++,Java,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"20,000-24,999"
Data Scientist,45-49,Doctoral degree,20+ years,10-20 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
Data Scientist,25-29,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,C#,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,500-9,999"
Data Scientist,30-34,Master’s degree,10-20 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,"100,000-124,999"
Data Scientist,22-24,Master’s degree,3-5 years,3-4 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Data Scientist,40-44,Doctoral degree,10-20 years,10-20 years,Python,,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"150,000-199,999"
Data Scientist,35-39,Master’s degree,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"300,000-499,999"
Machine Learning/ MLops Engineer,22-24,Master’s degree,1-3 years,Under 1 year,Python,,,,,,,,,,,,,,, Keras , PyTorch ,,,,,,,,,,,,,,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,
Machine Learning/ MLops Engineer,25-29,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"5,000-7,499"
Data Scientist,45-49,Bachelor’s degree,5-10 years,5-10 years,Python,R,SQL,,,,,Javascript,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,Graph Neural Networks,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Master’s degree,< 1 years,I do not use machine learning methods,Python,R,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,000-79,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,3-5 years,2-3 years,,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"150,000-199,999"
Data Scientist,25-29,Master’s degree,1-3 years,2-3 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
Data Scientist,50-54,Master’s degree,20+ years,5-10 years,Python,R,SQL,,,,,,,,,,,,,, PyTorch , Fast.ai , Xgboost ,,, Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",45-49,Master’s degree,< 1 years,Under 1 year,Python,R,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,I have never written code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000-4,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,25-29,Master’s degree,3-5 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,$0-999
Data Scientist,22-24,Bachelor’s degree,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"4,000-4,999"
Data Scientist,30-34,Master’s degree,5-10 years,3-4 years,,R,,,,,,,,,,,,,,,,,,,, Caret , Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,5-10 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"2,000-2,999"
Data Scientist,25-29,No formal education past high school,5-10 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,, LightGBM ,,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"40,000-49,999"
Data Scientist,22-24,Bachelor’s degree,3-5 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,
Data Engineer,40-44,Professional doctorate,20+ years,4-5 years,Python,,SQL,C,C#,C++,,Javascript,Bash,PHP,MATLAB,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
Machine Learning/ MLops Engineer,25-29,Master’s degree,10-20 years,3-4 years,Python,,SQL,,,,,Javascript,Bash,,,,,  Scikit-learn ,, Keras , PyTorch ,, Xgboost , LightGBM ,,,,,, Huggingface ,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"40,000-49,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"5,000-7,499"
Data Scientist,30-34,Master’s degree,5-10 years,5-10 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"150,000-199,999"
Data Scientist,22-24,Bachelor’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"7,500-9,999"
Data Scientist,50-54,Doctoral degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"150,000-199,999"
Data Scientist,35-39,Master’s degree,5-10 years,10-20 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,,,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
Machine Learning/ MLops Engineer,22-24,Master’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"4,000-4,999"
Data Engineer,30-34,Bachelor’s degree,5-10 years,Under 1 year,Python,,SQL,,,,,,Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000-39,999"
Machine Learning/ MLops Engineer,22-24,Master’s degree,5-10 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,, Keras , PyTorch ,,,,,,,, PyTorch Lightning , Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"100,000-124,999"
Machine Learning/ MLops Engineer,45-49,Master’s degree,20+ years,1-2 years,,,,,,C++,,,,,,,,,  TensorFlow ,,,,,,,,,,,,,,,,,,Convolutional Neural Networks,,,,,,"15,000-19,999"
Machine Learning/ MLops Engineer,30-34,Master’s degree,1-3 years,1-2 years,Python,,,,,,,,,,MATLAB,,,  Scikit-learn ,, Keras , PyTorch ,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,Convolutional Neural Networks,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,No formal education past high school,< 1 years,Under 1 year,Python,,SQL,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,I prefer not to answer,1-3 years,2-3 years,Python,,SQL,,,,,,,,,,,,,,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Bachelor’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,, Xgboost , LightGBM ,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,Generative Adversarial Networks,,,,,"70,000-79,999"
Data Scientist,35-39,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,Recurrent Neural Networks,,,,"20,000-24,999"
Data Scientist,18-21,No formal education past high school,1-3 years,1-2 years,Python,,,C,,,,Javascript,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"70,000-79,999"
Machine Learning/ MLops Engineer,30-34,Doctoral degree,10-20 years,10-20 years,Python,,,C,,C++,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost ,,,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,"Autoencoder Networks (DAE, VAE, etc)",,"30,000-39,999"
Data Scientist,30-34,Bachelor’s degree,20+ years,4-5 years,Python,R,SQL,,,,,Javascript,Bash,,,,Go,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai , Xgboost ,,,,, JAX ,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,"$500,000-999,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",22-24,Master’s degree,< 1 years,Under 1 year,Python,,,,,,,,,,,,,,,,,,,,,,,,,,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,$0-999
Machine Learning/ MLops Engineer,22-24,Bachelor’s degree,3-5 years,4-5 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"4,000-4,999"
Data Scientist,50-54,Master’s degree,10-20 years,5-10 years,Python,R,,,,,,,,,,,,,,,,,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"125,000-149,999"
Data Scientist,40-44,Master’s degree,10-20 years,5-10 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,,,,, Xgboost , LightGBM , CatBoost , Caret ,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"250,000-299,999"
Data Scientist,35-39,Doctoral degree,1-3 years,2-3 years,Python,R,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,5-10 years,Under 1 year,Python,,SQL,,,C++,Java,Javascript,,,,,,  Scikit-learn ,,,,,,,,,,,,,,,,,,,,,,,,,"3,000-3,999"
Data Scientist,25-29,Master’s degree,3-5 years,3-4 years,Python,,,,,,,,,,,,,  Scikit-learn ,,, PyTorch ,, Xgboost ,,,,,,, Huggingface ,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"20,000-24,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,< 1 years,I do not use machine learning methods,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0-999
Data Scientist,22-24,Master’s degree,1-3 years,1-2 years,Python,,,,,C++,,,,,MATLAB,,,  Scikit-learn ,  TensorFlow , Keras ,,,,,, Caret ,,,,,,Decision Trees or Random Forests,,,,,,,,,,,"10,000-14,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Master’s degree,< 1 years,Under 1 year,Python,R,SQL,,,,,,,PHP,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,$0-999
Data Scientist,25-29,Master’s degree,5-10 years,5-10 years,Python,,,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",,"30,000-39,999"
Data Scientist,50-54,Bachelor’s degree,< 1 years,1-2 years,Python,,,C,,,Java,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,,,,,,,,,,,,"100,000-124,999"
Data Engineer,25-29,Bachelor’s degree,3-5 years,Under 1 year,Python,,SQL,,,,Java,,Bash,,,,Go,,  TensorFlow , Keras ,,,,,,,,,,,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"2,000-2,999"
Data Scientist,40-44,Bachelor’s degree,5-10 years,5-10 years,Python,R,SQL,,,,,,Bash,,,,,  Scikit-learn ,,, PyTorch ,,, LightGBM ,,,,,, Huggingface ,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",35-39,Some college/university study without earning a bachelor’s degree,1-3 years,Under 1 year,Python,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000-69,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",30-34,Master’s degree,1-3 years,1-2 years,Python,,,,,,,,,,,,,  Scikit-learn ,,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"5,000-7,499"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",18-21,Bachelor’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,,,, PyTorch ,,,,,,,,,,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"90,000-99,999"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",60-69,I prefer not to answer,20+ years,10-20 years,Python,R,SQL,,,,,,,,,,,  Scikit-learn ,, Keras ,,, Xgboost , LightGBM ,,, Tidymodels ,,,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"90,000-99,999"
Data Scientist,45-49,Master’s degree,5-10 years,2-3 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow , Keras ,,, Xgboost ,,,,,,,,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"125,000-149,999"
Data Scientist,35-39,No formal education past high school,1-3 years,1-2 years,Python,R,,,,,,,Bash,,,Julia,,  Scikit-learn ,  TensorFlow , Keras , PyTorch ,, Xgboost , LightGBM , CatBoost ,,,,, Huggingface ,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"2,000-2,999"
Machine Learning/ MLops Engineer,30-34,Doctoral degree,3-5 years,1-2 years,Python,,,,,C++,,,,,,,,  Scikit-learn ,  TensorFlow , Keras , PyTorch , Fast.ai ,,,,,,, PyTorch Lightning ,,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)","Autoencoder Networks (DAE, VAE, etc)",Graph Neural Networks,$0-999
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",25-29,Bachelor’s degree,3-5 years,Under 1 year,Python,,,C,,C++,Java,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000-7,499"
"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",40-44,Master’s degree,1-3 years,1-2 years,Python,,SQL,,,,,,,,,,,  Scikit-learn ,  TensorFlow ,,,,,,,,,,,,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"2,000-2,999"
